"time","rtt"
0.435, 13.847999999999999
0.40700000000000003, 14.572
0.40700000000000003, 23.329
0.34900000000000003, 11.472
0.382, 14.375
0.432, 11.492
0.399, 11.871
0.355, 20.834
0.383, 9.827
0.585, 118.138
0.585, 117.354
0.585, 116.76400000000001
0.585, 18.251
0.46599999999999997, 20.441000000000003
1.5130000000000001, 19.576
0.417, 19.553
0.417, 18.666999999999998
0.417, 18.883
0.665, 21.191000000000003
0.665, 48.377
0.49200000000000005, 53.239000000000004
0.754, 18.061
0.431, 20.931
0.426, 18.811
0.414, 22.918
0.61, 25.076
0.61, 19.037
0.48700000000000004, 24.029
0.48700000000000004, 21.46
0.48700000000000004, 20.882
0.42000000000000004, 25.891000000000002
0.42000000000000004, 23.727999999999998
0.42000000000000004, 25.984
0.528, 31.456999999999997
0.57, 32.259
0.57, 21.943
0.423, 24.377
0.423, 17.507
0.423, 32.176
0.414, 29.994
0.414, 21.086000000000002
0.414, 31.511999999999997
0.376, 14.928
0.416, 17.714000000000002
0.416, 18.273
0.36000000000000004, 17.299
0.36000000000000004, 22.474999999999998
0.36000000000000004, 17.548000000000002
0.47800000000000004, 19.599999999999998
0.47800000000000004, 18.038999999999998
0.47800000000000004, 19.904
0.40700000000000003, 17.884
0.40700000000000003, 15.892
0.40700000000000003, 21.581
0.48899999999999993, 50.66
0.48899999999999993, 15.651000000000002
0.48899999999999993, 23.838
0.45199999999999996, 20.932
0.45199999999999996, 22.083
0.45199999999999996, 19.043
0.397, 51.872
0.397, 25.813
0.397, 17.725
0.524, 53.162
0.524, 33.397000000000006
0.524, 17.135
0.46, 26.237
0.522, 28.672
0.38699999999999996, 21.147
0.422, 19.391
0.44499999999999995, 17.616
0.361, 22.655
0.475, 19.529999999999998
1.039, 22.006999999999998
0.648, 25.237
0.517, 19.766
0.381, 16.007
0.381, 15.261000000000001
0.6890000000000001, 22.474999999999998
0.6890000000000001, 17.358999999999998
0.825, 26.536
0.443, 28.788
0.443, 18.162000000000003
0.539, 34.12
0.539, 24.296000000000003
0.539, 27.389
0.42700000000000005, 19.074
0.421, 21.793
0.348, 32.848
0.348, 20.802
1.176, 21.954
0.375, 18.037999999999997
0.375, 16.437
0.375, 25.261
0.397, 16.673000000000002
0.397, 17.427999999999997
0.397, 18.89
0.47600000000000003, 21.985999999999997
0.47600000000000003, 24.87
0.47600000000000003, 15.719000000000001
0.37, 18.013
0.37, 18.807000000000002
0.37, 31.690999999999995
0.432, 29.107
0.432, 17.628999999999998
0.432, 19.464
0.46799999999999997, 17.918
0.406, 14.581
0.8109999999999999, 15.457
1.203, 19.512999999999998
0.44, 223.942
0.44, 16.823999999999998
0.408, 19.744999999999997
0.408, 15.685999999999998
0.48500000000000004, 18.998
0.48500000000000004, 17.604000000000003
0.36000000000000004, 20.755
0.36000000000000004, 16.733999999999998
0.612, 15.379
0.612, 14.796999999999999
0.397, 18.005
0.397, 16.991
1.0610000000000002, 15.517
1.0610000000000002, 17.448999999999998
0.38, 19.852999999999998
0.38, 19.796
0.503, 29.773
0.503, 19.339
0.48899999999999993, 15.898
0.48899999999999993, 29.038999999999998
0.39, 15.314
0.395, 13.237
0.35300000000000004, 34.817
0.472, 14.435
0.371, 14.866000000000001
0.378, 14.132
0.432, 23.685000000000002
0.432, 15.514999999999999
0.433, 15.945999999999998
0.433, 25.39
0.434, 13.885
0.434, 26.218999999999998
0.397, 18.398999999999997
0.397, 1016.9449999999999
0.397, 15.004999999999999
0.43600000000000005, 28.049
0.43600000000000005, 20.494
0.43600000000000005, 19.455
0.477, 23.917
0.477, 25.031000000000002
0.477, 21.701
0.399, 18.646
0.399, 14.736
0.399, 27.27
0.477, 18.868
0.483, 27.217000000000002
0.483, 24.479
1.1, 24.257
1.1, 18.383
1.1, 25.29
0.382, 24.459000000000003
0.382, 26.811
0.382, 19.564
0.441, 20.655
0.441, 20.602
0.441, 23.361
0.40499999999999997, 25.498
0.40499999999999997, 27.456999999999997
0.40499999999999997, 25.87
0.40700000000000003, 24.738
0.40700000000000003, 23.778000000000002
0.40700000000000003, 30.714000000000002
0.54, 21.038999999999998
0.54, 22.453999999999997
0.54, 16.309
0.34, 34.025
0.34, 42.635
0.34, 37.602
3.23, 23.024
3.23, 35.763999999999996
3.23, 39.263
0.39399999999999996, 18.192
0.39399999999999996, 20.797
0.39399999999999996, 36.129000000000005
0.40099999999999997, 20.805
0.74, 20.535
0.74, 18.971999999999998
0.455, 16.322
0.34900000000000003, 21.84
0.481, 26.637999999999998
0.633, 30.061
0.988, 35.717999999999996
0.988, 17.169
0.422, 30.505999999999997
0.47600000000000003, 27.702
0.47600000000000003, 16.811
0.366, 24.388
0.366, 29.113
0.366, 26.612000000000002
0.41100000000000003, 20.674999999999997
0.40099999999999997, 27.081
0.40099999999999997, 19.954
0.42700000000000005, 21.019
0.416, 23.124
0.416, 26.987000000000002
0.416, 19.313
0.391, 15.254999999999999
0.372, 26.035
0.372, 21.933
0.429, 21.814
0.416, 27.627
0.416, 15.455
0.416, 27.55
0.433, 20.653000000000002
0.433, 17.933
0.433, 23.810000000000002
0.437, 16.189
0.437, 19.297
0.437, 24.575
0.524, 15.817999999999998
0.722, 23.786
0.722, 31.835
0.389, 24.676
0.772, 24.244999999999997
0.522, 30.634
0.46900000000000003, 26.526999999999997
0.477, 22.339000000000002
0.45, 17.468
0.558, 33.554
0.43600000000000005, 18.454
0.43600000000000005, 17.007
0.545, 23.914
0.545, 25.136
0.545, 19.351
0.457, 32.728
0.457, 27.563000000000002
0.457, 24.567
0.443, 17.491
